black,white,turn,win
0,0,199,1
0,100,39,1
0,200,27,1
0,300,59,1
0,400,31,1
0,500,39,1
0,600,39,1
0,700,39,1
0,800,31,1
0,900,35,1
0,1000,39,1
0,1100,39,1
0,1200,35,1
0,1300,47,1
0,1400,27,1
0,1500,27,1
0,1600,35,1
0,1700,43,1
0,1800,51,1
0,1900,51,1
0,2000,31,1
0,2100,47,1
0,2200,43,1
0,2300,27,1
0,2400,47,1
0,2500,43,1
0,2600,31,1
0,2700,39,1
0,2800,47,1
0,2900,35,1
0,3000,35,1
0,3100,27,1
0,3200,31,1
0,3300,30,1
0,3400,43,1
0,3500,43,1
0,3600,27,1
0,3700,31,1
0,3800,31,1
0,3900,83,1
0,4000,51,1
0,4100,43,1
0,4200,35,1
0,4300,27,1
0,4400,39,1
0,4500,39,1
0,4600,31,1
0,4700,35,1
0,4800,31,1
0,4900,31,1
0,5000,39,1
0,5100,31,1
0,5200,34,1
0,5300,39,1
0,5400,43,1
0,5500,31,1
0,5600,27,1
0,5700,47,1
0,5800,34,1
0,5900,43,1
0,6000,43,1
0,6100,55,1
0,6200,35,1
0,6300,79,1
0,6400,39,1
0,6500,34,1
0,6600,43,1
0,6700,35,1
0,6800,43,1
0,6900,35,1
0,7000,35,1
0,7100,51,1
0,7200,31,1
0,7300,35,1
0,7400,31,1
0,7500,47,1
0,7600,31,1
0,7700,51,1
0,7800,43,1
0,7900,31,1
0,8000,34,1
100,0,29,0
100,100,41,0
100,200,39,1
100,300,31,1
100,400,35,1
100,500,39,1
100,600,33,0
100,700,65,0
100,800,39,1
100,900,57,0
100,1000,30,1
100,1100,51,1
100,1200,31,1
100,1300,43,1
100,1400,43,1
100,1500,38,1
100,1600,35,1
100,1700,38,1
100,1800,34,1
100,1900,47,1
100,2000,46,1
100,2100,43,1
100,2200,35,1
100,2300,35,1
100,2400,35,1
100,2500,35,1
100,2600,47,1
100,2700,43,1
100,2800,35,1
100,2900,39,1
100,3000,39,1
100,3100,34,1
100,3200,39,1
100,3300,47,1
100,3400,65,0
100,3500,55,1
100,3600,47,1
100,3700,39,1
100,3800,42,1
100,3900,42,1
100,4000,47,1
100,4100,47,1
100,4200,43,1
100,4300,31,1
100,4400,35,1
100,4500,27,1
100,4600,35,1
100,4700,31,1
100,4800,39,1
100,4900,27,1
100,5000,31,1
100,5100,31,1
100,5200,39,1
100,5300,35,1
100,5400,35,1
100,5500,35,1
100,5600,50,1
100,5700,51,1
100,5800,43,1
100,5900,43,1
100,6000,39,1
100,6100,51,1
100,6200,39,1
100,6300,27,1
100,6400,43,1
100,6500,43,1
100,6600,43,1
100,6700,43,1
100,6800,35,1
100,6900,35,1
100,7000,43,1
100,7100,43,1
100,7200,43,1
100,7300,39,1
100,7400,31,1
100,7500,43,1
100,7600,47,1
100,7700,31,1
100,7800,27,1
100,7900,43,1
100,8000,33,0
200,0,37,0
200,100,37,0
200,200,35,1
200,300,41,0
200,400,43,1
200,500,51,1
200,600,28,0
200,700,31,1
200,800,39,1
200,900,35,1
200,1000,37,0
200,1100,31,1
200,1200,29,0
200,1300,33,0
200,1400,29,0
200,1500,45,0
200,1600,45,0
200,1700,54,1
200,1800,29,0
200,1900,35,1
200,2000,39,1
200,2100,51,1
200,2200,39,1
200,2300,31,1
200,2400,49,0
200,2500,35,1
200,2600,43,1
200,2700,35,1
200,2800,43,1
200,2900,39,1
200,3000,43,1
200,3100,30,1
200,3200,39,1
200,3300,41,0
200,3400,35,1
200,3500,39,1
200,3600,35,1
200,3700,35,1
200,3800,40,0
200,3900,51,1
200,4000,33,0
200,4100,35,1
200,4200,39,1
200,4300,31,1
200,4400,39,1
200,4500,47,1
200,4600,43,1
200,4700,35,1
200,4800,61,0
200,4900,35,1
200,5000,31,1
200,5100,35,1
200,5200,43,1
200,5300,67,1
200,5400,35,1
200,5500,43,1
200,5600,39,1
200,5700,35,1
200,5800,29,0
200,5900,67,1
200,6000,55,1
200,6100,35,1
200,6200,35,1
200,6300,35,1
200,6400,59,1
200,6500,35,1
200,6600,35,1
200,6700,35,1
200,6800,51,1
200,6900,51,1
200,7000,38,1
200,7100,39,1
200,7200,35,1
200,7300,43,1
200,7400,39,1
200,7500,35,1
200,7600,67,1
200,7700,35,1
200,7800,39,1
200,7900,39,1
200,8000,31,1
300,0,29,0
300,100,49,0
300,200,21,0
300,300,37,0
300,400,39,1
300,500,29,0
300,600,28,0
300,700,31,1
300,800,31,1
300,900,47,1
300,1000,47,1
300,1100,33,0
300,1200,43,1
300,1300,35,1
300,1400,29,0
300,1500,41,0
300,1600,35,1
300,1700,47,1
300,1800,37,0
300,1900,65,0
300,2000,51,1
300,2100,27,1
300,2200,30,1
300,2300,27,1
300,2400,39,1
300,2500,35,1
300,2600,35,1
300,2700,63,1
300,2800,41,0
300,2900,27,1
300,3000,39,1
300,3100,27,1
300,3200,31,1
300,3300,43,1
300,3400,51,1
300,3500,29,0
300,3600,31,1
300,3700,27,1
300,3800,31,1
300,3900,43,1
300,4000,41,0
300,4100,55,1
300,4200,35,1
300,4300,33,0
300,4400,27,1
300,4500,47,1
300,4600,39,1
300,4700,35,1
300,4800,31,1
300,4900,27,1
300,5000,43,1
300,5100,27,1
300,5200,27,1
300,5300,35,1
300,5400,75,1
300,5500,27,1
300,5600,39,1
300,5700,39,1
300,5800,27,1
300,5900,37,0
300,6000,51,1
300,6100,35,1
300,6200,35,1
300,6300,27,1
300,6400,39,1
300,6500,35,1
300,6600,35,1
300,6700,39,1
300,6800,54,1
300,6900,39,1
300,7000,27,1
300,7100,35,1
300,7200,27,1
300,7300,55,1
300,7400,35,1
300,7500,35,1
300,7600,35,1
300,7700,63,1
300,7800,35,1
300,7900,27,1
300,8000,51,1
400,0,33,0
400,100,41,0
400,200,33,0
400,300,45,0
400,400,37,0
400,500,31,1
400,600,63,1
400,700,65,0
400,800,31,1
400,900,25,0
400,1000,31,1
400,1100,35,1
400,1200,37,0
400,1300,45,0
400,1400,29,0
400,1500,51,1
400,1600,35,1
400,1700,47,1
400,1800,53,0
400,1900,31,1
400,2000,33,0
400,2100,27,1
400,2200,49,0
400,2300,37,0
400,2400,39,1
400,2500,31,1
400,2600,45,0
400,2700,45,0
400,2800,63,1
400,2900,59,1
400,3000,43,1
400,3100,27,1
400,3200,31,1
400,3300,73,0
400,3400,35,1
400,3500,35,1
400,3600,39,1
400,3700,35,1
400,3800,35,1
400,3900,31,1
400,4000,31,1
400,4100,55,1
400,4200,35,1
400,4300,35,1
400,4400,49,0
400,4500,47,1
400,4600,37,0
400,4700,31,1
400,4800,39,1
400,4900,39,1
400,5000,27,1
400,5100,42,1
400,5200,35,1
400,5300,47,1
400,5400,31,1
400,5500,27,1
400,5600,27,1
400,5700,31,1
400,5800,39,1
400,5900,35,1
400,6000,39,1
400,6100,33,0
400,6200,25,0
400,6300,41,0
400,6400,38,1
400,6500,39,1
400,6600,35,1
400,6700,27,1
400,6800,27,1
400,6900,63,1
400,7000,27,1
400,7100,35,1
400,7200,35,1
400,7300,27,1
400,7400,51,1
400,7500,45,0
400,7600,51,1
400,7700,31,1
400,7800,35,1
400,7900,51,1
400,8000,51,1
500,0,41,0
500,100,35,1
500,200,51,1
500,300,45,0
500,400,49,0
500,500,31,1
500,600,41,0
500,700,45,0
500,800,37,0
500,900,25,0
500,1000,47,1
500,1100,31,1
500,1200,29,0
500,1300,43,1
500,1400,28,0
500,1500,39,1
500,1600,41,0
500,1700,33,0
500,1800,37,0
500,1900,61,0
500,2000,49,0
500,2100,49,0
500,2200,27,1
500,2300,41,0
500,2400,34,1
500,2500,35,1
500,2600,35,1
500,2700,41,0
500,2800,35,1
500,2900,61,0
500,3000,39,1
500,3100,49,0
500,3200,35,1
500,3300,41,0
500,3400,35,1
500,3500,35,1
500,3600,31,1
500,3700,35,1
500,3800,35,1
500,3900,45,0
500,4000,28,0
500,4100,33,0
500,4200,27,1
500,4300,43,1
500,4400,27,1
500,4500,49,0
500,4600,39,1
500,4700,35,1
500,4800,41,0
500,4900,55,1
500,5000,35,1
500,5100,51,1
500,5200,41,0
500,5300,49,0
500,5400,43,1
500,5500,53,0
500,5600,27,1
500,5700,35,1
500,5800,37,0
500,5900,47,1
500,6000,39,1
500,6100,31,1
500,6200,35,1
500,6300,41,0
500,6400,39,1
500,6500,35,1
500,6600,35,1
500,6700,43,1
500,6800,27,1
500,6900,39,1
500,7000,43,1
500,7100,35,1
500,7200,35,1
500,7300,45,0
500,7400,39,1
500,7500,35,1
500,7600,31,1
500,7700,51,1
500,7800,35,1
500,7900,27,1
500,8000,31,1
600,0,41,0
600,100,29,0
600,200,29,0
600,300,41,0
600,400,37,0
600,500,35,1
600,600,28,0
600,700,60,0
600,800,41,0
600,900,25,0
600,1000,47,1
600,1100,35,1
600,1200,41,0
600,1300,59,1
600,1400,41,0
600,1500,73,0
600,1600,35,1
600,1700,47,1
600,1800,39,1
600,1900,45,0
600,2000,39,1
600,2100,47,1
600,2200,27,1
600,2300,29,0
600,2400,31,1
600,2500,35,1
600,2600,35,1
600,2700,33,0
600,2800,35,1
600,2900,55,1
600,3000,32,0
600,3100,35,1
600,3200,39,1
600,3300,49,0
600,3400,35,1
600,3500,35,1
600,3600,31,1
600,3700,35,1
600,3800,35,1
600,3900,33,0
600,4000,45,0
600,4100,45,0
600,4200,35,1
600,4300,39,1
600,4400,42,1
600,4500,47,1
600,4600,27,1
600,4700,35,1
600,4800,35,1
600,4900,17,0
600,5000,35,1
600,5100,35,1
600,5200,49,0
600,5300,31,1
600,5400,43,1
600,5500,43,1
600,5600,45,0
600,5700,27,1
600,5800,35,1
600,5900,35,1
600,6000,35,1
600,6100,39,1
600,6200,53,0
600,6300,33,0
600,6400,35,1
600,6500,43,1
600,6600,35,1
600,6700,31,1
600,6800,27,1
600,6900,59,1
600,7000,35,1
600,7100,45,0
600,7200,35,1
600,7300,58,1
600,7400,29,0
600,7500,35,1
600,7600,63,1
600,7700,35,1
600,7800,35,1
600,7900,43,1
600,8000,35,1
700,0,37,0
700,100,29,0
700,200,52,0
700,300,41,0
700,400,39,1
700,500,31,1
700,600,43,1
700,700,41,0
700,800,31,1
700,900,25,0
700,1000,36,0
700,1100,31,1
700,1200,41,0
700,1300,39,1
700,1400,29,0
700,1500,37,0
700,1600,43,1
700,1700,33,0
700,1800,41,0
700,1900,55,1
700,2000,53,0
700,2100,27,1
700,2200,39,1
700,2300,61,0
700,2400,53,0
700,2500,45,0
700,2600,39,1
700,2700,41,0
700,2800,54,1
700,2900,83,1
700,3000,39,1
700,3100,53,0
700,3200,39,1
700,3300,27,1
700,3400,47,1
700,3500,35,1
700,3600,35,1
700,3700,31,1
700,3800,31,1
700,3900,41,0
700,4000,29,0
700,4100,67,1
700,4200,43,1
700,4300,61,0
700,4400,33,0
700,4500,45,0
700,4600,43,1
700,4700,35,1
700,4800,21,0
700,4900,45,0
700,5000,43,1
700,5100,42,1
700,5200,41,0
700,5300,43,1
700,5400,53,0
700,5500,27,1
700,5600,35,1
700,5700,35,1
700,5800,37,0
700,5900,43,1
700,6000,35,1
700,6100,35,1
700,6200,45,0
700,6300,31,1
700,6400,39,1
700,6500,35,1
700,6600,35,1
700,6700,43,1
700,6800,39,1
700,6900,43,1
700,7000,31,1
700,7100,31,1
700,7200,31,1
700,7300,27,1
700,7400,39,1
700,7500,53,0
700,7600,31,1
700,7700,51,1
700,7800,31,1
700,7900,49,0
700,8000,37,0
800,0,29,0
800,100,33,0
800,200,33,0
800,300,45,0
800,400,49,0
800,500,31,1
800,600,32,0
800,700,29,0
